seq,ans
1~~0~~1&1||,1
1000000&&&&&0||,1
111000&&|||,1
011&0||~~~~,1
011~&1|1~0&&&,0
100|0&0&|,1
001&&0|,0
11&1101&|||,1
0100|0&&|,0
0~000001~&&&&&&,0
111000&&|||,1
1~1|11~&1|&,1
101&&10||,1
100|1&0|&,0
11~&1|1~0&&1|,1
0~~1&1|1&0|,1
01&10||,1
100|0&0&&,0
001&&0|,0
10~~1&1|1&0||,1
0001~&&&1|~1&,0
001~&&1|~1&,0
1110000&&&|||,1
0100|0&&|,0
01~&1|1~0&&1|,1
11100&0||||,1
000|1&0||,0
0~~1&1|~1~|,0
1000000&&&&&0||,1
00|1&~1~0&&,0
011~&1|1~&&,0
0~000001~&&&&&&,0
0~000001~&&&&&&,0
01&10||,1
0~11~&1|1&&,1
111000&&0||||,1
001~&&1|1~0&&,0
100|0&0&|,1
0100|0&&|,0
0~11~&1|1&&,1
01001&&&|,0
000|0&|,0
11000&&0||1&|,1
1~~0~~1&1||,1
0100|0&&|,0
01&10||,1
11&1101&|||,1
11100&0||||,1
0100|0&&|,0
001~&&1|1~0&&,0
00|1&0|0|,0
000|0&|,0
01~&1|1~0&&1|,1
011~&1|1~0&&&,0
00|1&~1~0&&,0
011&0||~~0|,1
1~~0~~1&1||,1
1101&|1~1~&&|,1
11000&&0||1&|,1
001&&0|,0
011&0||~~~~,1
1001&&&0|,0
0000000&&&&&&,0
000|1&0||,0
0~11~&1|1&&,1
01&10||,1
1000000&&&&&0||,1
0~~1&1|~1~0&&,0
011&0||~~0|,1
10~~1&1|0&|,1
101&&10||,1
1001&&&0|,0
00|1&1~1~&&,0
00|1&1~1~&|,0
100|0&0&|,1
0~00001~&&&&&1|,1
0~000001~&&&&&&,0
0~000001~&&&&&&,0
111000&&0||||,1
0101&&0||,0
000|0&|,0
001~&&1|1~0&&,0
111000&&|||,1
100|1&0|&,0
0~00001~&&&&&1|,1
011&10|||,1
0~11~&1|1&&,1
10~~1&1|1&0||,1
100|0&0&&,0
11100&0||||,1
00~11~&1|&|,1
11~&1|~1&0|,0
0~~1&1|1~1~&|,1
1~101&|1~0&&|,0
1001&&&1|,1
0~~~~1&1|0&,0
001&&0|,0
0~00001~&&&&&1|,1
0~00001~&&&&&1|,1
0~00001~&&&&&1|,1
0~000001~&&&&&&,0
11100&0||||,1
1~1|11~&1|&,1
011&0||~~~~,1
0100|0&&|,0
101&&10||,1
011&10|||,1
10~~1&1|1&0||,1
1100000&&&&||,1
000|1&0||,0
001&&0|,0
00000000&&&&&&&,0
0~~1&1|1&0|,1
01~&1|1~0&&1|,1
10~~1&1|0&|,1
0~~~~1&1|~0~|,1
00|1&1~1~&|,0
1~1|11~&1|&,1
1~101&|1~0&&|,0
000|0&|,0
0100|0&&|,0
000|0&0&|,0
1~1001~&&1|||,1
00|0&1&,0
11~&1|~1&0|,0
001~&&1|1~0&&,0
11101&|||,1
00000000&&&&&&&,0
1~~0~~1&1||,1
00|1&0|0|,0
0000&&&,0
00|1&1~1~&|,0
0~~~~1&1|1&,1
10~~1&1|1&0||,1
0~11~&1|1&&,1
111000&&0||||,1
0100|0&&|,0
0101&&0||,0
00|1&0|0|,0
0101&&11|||,1
11~&1|~1~1~&|,0
001&&11||,1
11100&0||||,1
0~~1&1|~1~&,0
1110000&&&|||,1
00000000&&&&&&&,0
00|0&1&,0
100|1&0|&,0
0~11~&1|1&&,1
00~11~&1|&|,1
000|0&|,0
1~1|11~&1|&,1
0000&&&,0
000|0&|,0
01~&1|1~0&&1|,1
0~~1&1|~1~0&&,0
11~&1|1~0&&1|,1
11~&1|~1~1~&|,0
011&10|||,1
0~11~&1|1&&,1
011~&1|1~0&&&,0
11101&|||,1
11~&1|1~0&&1|,1
101&&10||,1
100|1&0||,1
000|1&0||,0
00000&&&&0|1&,0
1101&|1~1~&&|,1
00|1&0|0|,0
1001~&&1||1~&,0
11~&1|1~0&&1|,1
111000&&|||,1
1101&|1~1~&&|,1
0~~~~1&1|0&,0
0001~&&&1|0~|,1
11100&0||0&||,1
11101&|||,1
011&10|||,1
11~&1|~1&0|,0
001~&&1|1~0&&,0
0001~&&&1|1~&,0
100|1&0||,1
1~101&|1~0&&|,0
011&0||~~0|,1
001~&&1|~1&0|,0
11100&0||||,1
10000000&&&&&&|,1
1~~0~~1&1||,1
11100&0||||,1
10~~1&1|1&|,1
011~&1|1~0&&&,0
111000&&|||,1
00|1&1~1~&&,0
011~&1|1~0&&&,0
0101&&11|||,1
10000000&&&&&&|,1
10000000&&&&&&|,1
011~&1|1~&&,0
10~~1&1|1&0||,1
1000000&&&&&0||,1
11~&1|~1~1~&|,0
100|1&0|&,0
0~~1&1|~1~|,0
001&&0|,0
1~1|11~&1|&,1
1101&|1~1~&&|,1
10000000&&&&&&|,1
11100&0||1&||,1
011&0||~~0|,1
0~11~&1|1&&,1
11100&0||1&||,1
000|1&0||,0
0000000&&&&&&0|,0
011~&1|&1~|,0
1~101&|1~0&&|,0
11101&|||,1
0100|0&&|,0
0101&&11|||,1
000|0&|,0
11100&0||0&||,1
111000&&0||||,1
111000&&|||,1
0101&&11|||,1
0~00001~&&&&&1|,1
1101&|1~1~&&|,1
000|0&|,0
10~~1&1|1&|,1
1~~0~~1&1||,1
01001&&&|,0
11~&1|~1~1~&|,0
0~11~&1|1&&,1
00|1&0|0|,0
111000&&0||||,1
100|1&0||,1
011&0||~~0|,1
11101&|||,1
0000000&&&&&&0|,0
000|1&0||,0
1000000&&&&&0||,1
011&0||~~~~,1
0~000001~&&&&&&,0
11100&0||||,1
011~&1|1~0&&&,0
10~~1&1|1&0||,1
11100&0||1&||,1
0~11~&1|1&&,1
000|1&0||,0
11101&|||,1
1001~&&1||1~|,1
100|0&0&|,1
1101&|1~1~&&|,1
0~000001~&&&&&&,0
000|0&0&|,0
1000000&&&&&|,1
000|0&|,0
11100&0||0&||,1
00001~&&&&1|~,0
11~&1|1~0&&1|,1
1000000&&&&&0||,1
0~~1&1|~1~&,0
0~000001~&&&&&&,0
1001&&&0|,0
000|0&|,0
0100|0&&|,0
00~11~&1|&|,1
011~&1|1~&&,0
0~00001~&&&&&1|,1
0100|0&&|,0
0100|0&&|,0
111000&&|||,1
1~1|11~&1|&,1
11~&1|~1~1~&|,0
11100&0||||,1
11100&0||0&||,1
1~1|11~&1|&,1
01000&&&|,0
111000&&|||,1
01&10||,1
0001&&&,0
011~&1|1~0&&&,0
0101&&0||,0
000|1&0||,0
0~000001~&&&&&&,0
000|1&0||,0
1000000&&&&&0||,1
11000&&0||1&|,1
11100&0||0&||,1
0~000001~&&&&&&,0
100|1&0|&,0
00|1&0|0|,0
11100&0||0&||,1
111000&&0||||,1
011&0||~~0|,1
111000&&|||,1
1~101&|1~0&&|,0
001~&&1|~1&0|,0
1101&|1~1~&&|,1
0~~1&1|~1~0&&,0
011&0||~~~~,1
0100|0&&|,0
0000000&&&&&&0|,0
11100&0||1&||,1
100|1&0||,1
11~&1|~1~1~&|,0
00|0&1&,0
1101&|1~1~&&|,1
11101&|||,1
10~~1&1|1&0||,1
101&|1~1~&&1|,1
11101&|||,1
0~11~&1|1&&,1
011~&1|1~0&&&,0
011&0||~~0|,1
0~~~~1&1|~0~|,1
1~101&|1~0&&|,0
11&110|||,1
0~000001~&&&&&&,0
10~~1&1|1&0||,1
0~~1&1|~1~0&&,0
000|0&|,0
100|1&0||,1
11000&&0||0&|,1
10~~1&1|1&0||,1
011&0||~~0|,1
11101&|||,1
1~101&|1~0&&|,0
10000000&&&&&&|,1
10~~1&1|1&0||,1
011~&1|1~0&&&,0
000|1&0||,0
10000000&&&&&&|,1
101&|1~1~&&1|,1
0~00001~&&&&&1|,1
0100|0&&|,0
011~&1|1~0&&&,0
0000000&&&&&&0|,0
1110000&&&|||,1
11&1101&|||,1
0~~1&1|1~1~&|,1
11~&1|~1~1~&|,0
10000000&&&&&&|,1
0~~1&1|1~1~&|,1
11&110|||,1
000|0&|,0
000|1&0||,0
001&&0|,0
011&0||~~0|,1
00~11~&1|&|,1
0~000001~&&&&&&,0
100|1&0|&,0
11101&|||,1
1001~&&1||1~|,1
100|0&0&|,1
11100&0||||,1
1~1001~&&1|||,1
11~&1|~1~1~&|,0
111000&&|||,1
0~~1&1|1~1~&|,1
0000000&&&&&&0|,0
011~&1|1~0&&&,0
00~11~&1|&|,1
001~&&1|~0&,0
001~&&1|1~0&&,0
0001~&&&1|~1&,0
00000000&&&&&&&,0
10~~1&1|1&0||,1
11&110|||,1
0101&&0||,0
1101&|1~1~&&|,1
1~101&|1~0&&|,0
1001~&&1||1~&,0
011~&1|1~0&&&,0
1101&|1~1~&&|,1
1101&|1~1~&&|,1
1~101&|1~0&&|,0
001~&&1|1~0&&,0
10~~1&1|0&|,1
111000&&0||||,1
101&&10||,1
11101&|||,1
11100&0||0&||,1
00~11~&1|&|,1
1~1|11~&1|&,1
01001&&&|,0
101&&10||,1
11000&&0||0&|,1
011~&1|1~0&&&,0
11100&0||1&||,1
1~101&|1~0&&|,0
01000&&&|,0
101&|1~1~&&1|,1
00001~&&&&1|~,0
0~11~&1|1&&,1
11&1101&|||,1
00000000&&&&&&&,0
100|1&0|&,0
11~&1|~1~1~&|,0
100|1&0||,1
000|0&0&|,0
100|0&0&&,0
011~&1|1~0&&&,0
0~~1&1|~1~&,0
011&10|||,1
1000000&&&&&0||,1
011&10|||,1
011&0||~~0|,1
11&1101&|||,1
00~11~&1|&|,1
0~~~~1&1|~1~&,0
001~&&1|~0&,0
11101&|||,1
00~11~&1|&|,1
1~1|11~&1|&,1
01&10||,1
00~11~&1|&|,1
11&1101&|||,1
001&&0|,0
1101&|1~1~&&|,1
001~&&1|~1&0|,0
0~~~~1&1|0&,0
0~11~&1|1&&,1
0~11~&1|1&&,1
0000&&&,0
0~000001~&&&&&&,0
011&0||~~0|,1
1001&&&0|,0
001&&0|,0
100|0&0&&,0
100|1&0|&,0
00|1&1~1~&&,0
11&1101&|||,1
00~11~&1|&|,1
011&0||~~~~,1
1000000&&&&&0||,1
10~~1&1|1&0||,1
11~&1|~1~1~&|,0
1000000&&&&&0||,1
00~11~&1|&|,1
1~1001~&&1|||,1
111000&&|||,1
111000&&0||||,1
0~11~&1|1&&,1
100|1&0|&,0
11~&1|~1~1~&|,0
1110000&&&|||,1
001&&11||,1
11100&0||1&||,1
00|1&0|0|,0
0~000001~&&&&&&,0
000|1&0||,0
0~00001~&&&&&1|,1
0~11~&1|1&&,1
0~000001~&&&&&&,0
0100|0&&|,0
0~~1&1|1~1~&|,1
00|1&~1~0&&,0
1110000&&&|||,1
10000000&&&&&&|,1
0~~1&1|~1~&,0
1001~&&1||1~|,1
0001~&&&1|~1&,0
10000000&&&&&&|,1
1001~&&1||1~&,0
011&10|||,1
000|1&0||,0
000|0&|,0
00001~&&&&1|~,0
1110000&&&|||,1
100|0&0&&,0
0~11~&1|1&&,1
0~~1&1|1~1~&|,1
1~~0~~1&1||,1
0~~1&1|~1~0&&,0
00000000&&&&&&&,0
011~&1|1~0&&&,0
0~11~&1|1&&,1
1000000&&&&&0||,1
0~000001~&&&&&&,0
1101&|1~1~&&|,1
10~~1&1|1&|,1
1~1001~&&1|||,1
1101&|1~1~&&|,1
0~00001~&&&&&1|,1
000|0&|,0
100|0&0&&,0
000|0&|,0
11101&|||,1
101&&10||,1
0~~1&1|~1~|,0
0~~1&1|~1~|,0
0~00001~&&&&&1|,1
011&10|||,1
00~11~&1|&|,1
00000000&&&&&&&,0
0~11~&1|1&&,1
0101&&0||,0
000|0&|,0
11100&0||1&||,1
0101&&11|||,1
0~~~~1&1|~0~|,1
01&10||,1
00~11~&1|&|,1
11~&1|~1~1~&|,0
0~000001~&&&&&&,0
0000000&&&&&&0|,0
0~11~&1|1&&,1
10000000&&&&&&|,1
001~&&1|~1&,0
111000&&|||,1
000|0&|,0
11000&&0||1&|,1
0~00001~&&&&&1|,1
00|1&~1~0&&,0
11101&|||,1
000|0&|,0
11~&1|~1~1~&|,0
0000000&&&&&&0|,0
1110000&&&|||,1
1001&&&1|,1
0000000&&&&&&0|,0
011&10|||,1
1~101&|1~0&&|,0
1~~0~~1&1||,1
100|0&0&|,1
001~&&1|1~0&&,0
000|1&0||,0
0000000&&&&&&0|,0
011~&1|1~0&&&,0
1001&&&0|,0
1000000&&&&&0||,1
11100&0||1&||,1
00~11~&1|&|,1
11100&0||0&||,1
11100&0||1&||,1
011~&1|&0~|,1
0000000&&&&&&0|,0
0~11~&1|1&&,1
11&1101&|||,1
1~1|11~&1|&,1
100|0&0&&,0
0~00001~&&&&&1|,1
111000&&|||,1
0101&&0||,0
0001~&&&1|~1&,0
00000000&&&&&&&,0
11100&0||||,1
11&1101&|||,1
0~11~&1|1&&,1
01001&&&|,0
1000000&&&&&0||,1
00|0&1&,0
000|0&0&|,0
0001&&&,0
000|1&0||,0
11&110|||,1
1101&|1~1~&&|,1
11&1101&|||,1
0100|0&&|,0
0000000&&&&&&0|,0
1110000&&&|||,1
10~~1&1|1&0||,1
0~00001~&&&&&1|,1
0001~&&&1|~1&,0
0~00001~&&&&&1|,1
011&0||~~~~,1
1000000&&&&&0||,1
100|0&0&|,1
11100&0||1&||,1
1001&&&1|,1
0001&&&,0
011&0||~~~~,1
100|0&0&|,1
0~11~&1|1&&,1
0000000&&&&&&0|,0
1~101&|1~0&&|,0
00|1&0|0|,0
1110000&&&|||,1
111000&&0||||,1
00000000&&&&&&&,0
1~1|11~&1|&,1
1101&|1~1~&&|,1
0~~1&1|1~1~&|,1
00~11~&1|&|,1
00~11~&1|&|,1
001&&0|,0
0~~1&1|~1~0&&,0
1110000&&&|||,1
1~~0~~1&1||,1
110000&&&0|||,1
0~11~&1|1&&,1
1001&&&1|,1
011~&1|1~0&&&,0
01000&&&|,0
0101&&11|||,1
011&10|||,1
011~&1|1~0&&&,0
000|0&|,0
11101&|||,1
001&&0|,0
00|1&1~1~&&,0
01~&1|1~0&&1|,1
001~&&1|~1&,0
000|1&0||,0
0000&&&,0
0~11~&1|1&&,1
00~11~&1|&|,1
100|0&0&|,1
011~&1|&1~|,0
00|1&1~1~&|,0
011&0||~~0|,1
00001~&&&&1|~,0
011~&1|&0~|,1
0100|0&&|,0
0101&&0||,0
1101&|1~1~&&|,1
1~1|11~&1|&,1
111000&&|||,1
1~~0~~1&1||,1
011~&1|&1~|,0
01~&1|1~0&&1|,1
00000000&&&&&&&,0
00|1&0|0|,0
00|0&0&0|,0
11&1101&|||,1
000|0&0&|,0
11100&0||||,1
000|1&0||,0
011~&1|1~0&&&,0
0~~1&1|~1~|,0
01000&&&|,0
011&10|||,1
100|0&0&|,1
0100|0&&|,0
000|1&0||,0
11100&0||||,1
001&&11||,1
0~11~&1|1&&,1
0~~1&1|~1~0&&,0
100|1&0||,1
0101&&0||,0
11101&|||,1
01&10||,1
11~&1|1~0&&1|,1
0~11~&1|1&&,1
11&1101&|||,1
000|0&0&|,0
00|1&1~1~&&,0
1~101&|1~0&&|,0
0~~1&1|1~1~&|,1
0~00001~&&&&&1|,1
1101&|1~1~&&|,1
000|0&|,0
11~&1|~1~1~&&,0
0001~&&&1|1~|,1
00|1&~1~0&&,0
00~11~&1|&|,1
0~11~&1|1&&,1
0100|0&&|,0
011~&1|1~0&&&,0
11&110|||,1
0000000&&&&&&0|,0
001&&11||,1
0~~1&1|1&0|,1
1101&|1~1~&&|,1
00~11~&1|&|,1
000|1&0||,0
00|0&1&,0
001&&11||,1
100|0&0&&,0
0001~&&&1|~1&,0
00000&&&&0|1&,0
0000000&&&&&&0|,0
000000&&&&&0|,0
001&&0|,0
1001~&&1||0~|,1
1~~0~~1&1||,1
00|1&0|0|,0
110000&&&0|||,1
0100|0&&|,0
110000&&&0|||,1
11101&|||,1
0000000&&&&&&0|,0
100|1&0||,1
100|1&0||,1
1~1|11~&1|&,1
0~~~~1&1|1&0|,1
111000&&0||||,1
100|1&0|&,0
11101&|||,1
011&0||~~~~,1
10~~1&1|1&0||,1
000|0&0&|,0
11000&&0||0&|,1
0~11~&1|1&&,1
00000000&&&&&&&,0
100|1&0||,1
11000&&0||0&|,1
000|1&0||,0
1001&&&0|,0
1101&|1~1~&&|,1
011~&1|1~0&&&,0
0~~~~1&1|~1~&,0
100|1&0|&,0
000|1&0||,0
000|0&|,0
01001&&&|,0
10~~1&1|1&0||,1
011&0||~~0|,1
11~&1|~1~1~&&,0
100|0&0&&,0
0~~~~1&1|1&,1
1101&|1~1~&&|,1
11&1101&|||,1
11&1101&|||,1
000|0&|,0
011~&1|1~0&&&,0
111000&&|||,1
11000&&0||0&|,1
011~&1|1~0&&&,0
0~11~&1|1&&,1
011&10|||,1
1001&&&1|,1
0~00001~&&&&&1|,1
1000000&&&&&0||,1
111000&&|||,1
0~11~&1|1&&,1
1~1|11~&1|&,1
0~000001~&&&&&&,0
011~&1|1~0&&&,0
1110000&&&|||,1
0~11~&1|1&&,1
101&|1~1~&&1|,1
0~~1&1|1~1~&|,1
1101&|1~1~&&|,1
000|0&|,0
1~101&|1~0&&|,0
0~~1&1|~1~&,0
0~~1&1|1~1~&&,0
111000&&|||,1
0100|0&&|,0
11100&0||1&||,1
011~&1|1~0&&&,0
0~11~&1|1&&,1
0~000001~&&&&&&,0
0100|0&&|,0
1~~0~~1&1||,1
11&1101&|||,1
11101&|||,1
0~000001~&&&&&&,0
0100|0&&|,0
000|0&|,0
10~~1&1|1&0||,1
0~~~~1&1|1&,1
0~11~&1|1&&,1
01001&&&|,0
11101&|||,1
11100&0||1&||,1
0~~1&1|~1~0&&,0
011~&1|1~0&&&,0
1~~0~~1&1||,1
0~000001~&&&&&&,0
11100&0||1&||,1
11101&|||,1
0101&&0||,0
000|0&|,0
0~~~~1&1|0&,0
111000&&0||||,1
011~&1|1~0&&&,0
11100&0||1&||,1
11~&1|~1~1~&&,0
0~000001~&&&&&&,0
011&0||~~0|,1
0~000001~&&&&&&,0
01001&&&|,0
0~000001~&&&&&&,0
0~~~~1&1|~1~&,0
111000&&|||,1
011~&1|1~0&&&,0
11100&0||1&||,1
11~&1|~1~1~&&,0
0~~1&1|~1~&,0
001~&&1|~1&0|,0
1~1|11~&1|&,1
101&|1~1~&&1|,1
000|0&|,0
0~00001~&&&&&1|,1
0~~1&1|1~1~&|,1
0101&&0||,0
100|1&0|&,0
0~00001~&&&&&1|,1
011~&1|1~0&&&,0
0101&&11|||,1
1~101&|1~0&&|,0
11&110|||,1
100|1&0||,1
1110000&&&|||,1
0~11~&1|1&&,1
01~&1|1~0&&1|,1
11100&0||0&||,1
0~11~&1|1&&,1
100|1&0||,1
100|0&0&&,0
100|1&0|&,0
011~&1|1~&&,0
1001~&&1||1~&,0
0100|0&&|,0
001&&11||,1
1000000&&&&&0||,1
100|0&0&|,1
0101&&11|||,1
1001&&&1|,1
1000000&&&&&0||,1
0~~1&1|~1~0&&,0
100|0&0&&,0
1~~0~~1&1||,1
11101&|||,1
10000000&&&&&&|,1
111000&&|||,1
1110000&&&|||,1
111000&&|||,1
0000000&&&&&&0|,0
0~00001~&&&&&1|,1
00000000&&&&&&&,0
1110000&&&|||,1
11&110|||,1
011&0||~~0|,1
0~00001~&&&&&1|,1
0100|0&&|,0
1001~&&1||1~|,1
0~00001~&&&&&1|,1
00~11~&1|&|,1
0~000001~&&&&&&,0
10~~1&1|0&|,1
011~&1|1~0&&&,0
000|0&|,0
011~&1|&1~|,0
0~11~&1|1&&,1
011~&1|1~0&&&,0
0~~1&1|1~1~&&,0
0~~~~1&1|1&0|,1
11&110|||,1
1101&|1~1~&&|,1
0~11~&1|1&&,1
001~&&1|~1&,0
0001&&&,0
1~1|11~&1|&,1
0~000001~&&&&&&,0
00|1&~1~0&&,0
000|0&|,0
011~&1|1~0&&&,0
1110000&&&|||,1
0~~~~1&1|1&0|,1
11100&0||||,1
00000000&&&&&&&,0
0~~1&1|~1~|,0
1110000&&&|||,1
00|1&0|0|,0
